Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
Results for cross0.txt
ioo(0) 74 | 35 | holy | [23, 8, 15, 28] | [15, 7, 13] | [ad, diffs_is_odd, dad] | DHSEA | HJL?EA? 
ioo(1) 33 | 35 | holy | [0, 14, 18, 1] | [14, 4, 17] | [ad, dad] | FXEU | N(PAE)XT 
ioo(2) 57 | 25 | holy | [16, 18, 6, 17] | [2, 12, 11] | [ad, dad] | TEGB | YX?G?G 
ioo(3) 19 | 7 | holy | [8, 5, 5, 1] | [3, 0, 4] | [decremental, hr, dad] | HCCU | JTHTHT 
ioo(4) 51 | 60 | holy | [18, 6, 27, 0] | [12, 21, 27] | [ad, diffs_incremental, dad] | EGIOF | X?G??IO?N 
ioo(5) 37 | 23 | holy | [15, 11, 1, 10] | [4, 10, 9] | [ad, dad] | SJUI | LRTA 
ioo(6) 63 | 10 | holy | [11, 13, 18, 21] | [2, 5, 3] | [incremental, ad, dad, diffs_all_prime] | JPEING | R(CM)XING 
ioo(7) 55 | 39 | holy | [18, 7, 3, 27] | [11, 4, 24] | [ad, dad] | EWOIO | XO(UB)?IO? 
ioo(8) 32 | 23 | holy | [11, 9, 0, 12] | [2, 9, 12] | [ad, diffs_incremental, dad] | JNFEO | RENEO 
ioo(9) 68 | 36 | holy | [14, 20, 28, 6] | [6, 8, 22] | [is_even, ad, diffs_incremental, diffs_is_even, dad] | XLEAG | (PAE)IO?EA??G? 
ioo(10) 71 | 34 | holy | [15, 21, 28, 7] | [6, 7, 21] | [ad, diffs_incremental, dad] | SINGEAW | LING?EA?O 
Results for cross1.txt
ioo(0) 39 | 45 | holy | [26, 1, 11, 1] | [25, 10, 10] | [hr, diffs_decremental, dhr] | YUJU | ?Y?TRT 
ioo(1) 67 | 15 | holy | [18, 11, 19, 19] | [7, 8, 0] | [hr, dad] | EJMM | XRWW 
ioo(2) 43 | 11 | holy | [17, 8, 8, 10] | [9, 0, 2] | [hr, dad] | BHHI | GJJA 
ioo(3) 80 | 12 | holy | [26, 26, 14, 14] | [0, 12, 0] | [decremental, is_even, hr, diffs_is_even, dhr] | YYXX | ?Y??Y?(PAE)(PAE) 
ioo(4) 45 | 53 | holy | [21, 4, 20, 0] | [17, 16, 20] | [ad, dad] | INGRLF | ING?R?ION 
ioo(5) 66 | 19 | holy | [12, 11, 24, 19] | [1, 13, 5] | [ad, diffs_is_odd, dad] | EOJAM | EORSW 
Results for cross2.txt
ioo(0) 67 | 34 | holy | [22, 28, 17, 0] | [6, 11, 17] | [ad, diffs_incremental, dad] | OEEABF | EA?EA?GN 
ioo(1) 68 | 23 | holy | [19, 12, 11, 26] | [7, 1, 15] | [ad, diffs_is_odd, dad] | MEOJY | WEOR?Y? 
