Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
Results for cross0.txt
ioo(0) 75 | 14 | seek | [16, 22, 17, 20] | [6, 5, 3] | [ad, diffs_decremental, dad] | TOEBL | YEAGIO 
ioo(1) 92 | 16 | seek | [22, 28, 20, 22] | [6, 8, 2] | [is_even, hr, diffs_is_even, dad] | OEEALOE | EA?EA?IOEA 
ioo(2) 29 | 12 | seek | [9, 3, 8, 9] | [6, 5, 1] | [hr, diffs_decremental, dad] | NOHN | E(UB)JE 
ioo(3) 49 | 45 | seek | [1, 19, 7, 22] | [18, 12, 15] | [ad, dad] | UMWOE | TWOEA 
ioo(4) 52 | 50 | seek | [11, 20, 0, 21] | [9, 20, 21] | [ad, diffs_incremental, dad] | JLFING | RIONING 
ioo(5) 38 | 40 | seek | [8, 25, 3, 2] | [17, 22, 1] | [ad, dad] | HAEOTH | JOE(UB)(FID) 
ioo(6) 64 | 37 | seek | [4, 27, 20, 13] | [23, 7, 7] | [ad, diffs_decremental, diffs_is_odd, dhr, diffs_all_prime] | RIOLP | ?R??IO?IO(CM) 
ioo(7) 56 | 40 | seek | [11, 21, 5, 19] | [10, 16, 14] | [is_odd, ad, diffs_is_even, dad] | JINGCM | RINGTHW 
ioo(8) 33 | 42 | seek | [4, 23, 2, 4] | [19, 21, 2] | [hr, dad] | RDTHR | ?R?H(FID)?R? 
ioo(9) 40 | 32 | seek | [7, 5, 1, 27] | [2, 4, 26] | [is_odd, ad, diffs_incremental, diffs_is_even, dad] | WCUIO | OTHT?IO? 
ioo(10) 43 | 34 | seek | [8, 6, 1, 28] | [2, 5, 27] | [ad, diffs_incremental, dad] | HGUEA | J?G?T?EA? 
Results for cross1.txt
ioo(0) 69 | 15 | seek | [19, 15, 13, 22] | [4, 2, 9] | [ad, dad] | MSPOE | WL(CM)EA 
ioo(1) 68 | 28 | seek | [11, 25, 21, 11] | [14, 4, 10] | [is_odd, hr, diffs_is_even, dad] | JAEINGJ | ROEINGR 
ioo(2) 44 | 32 | seek | [10, 22, 10, 2] | [12, 12, 8] | [is_even, hr, diffs_decremental, diffs_is_even, dhr] | IOEITH | AEAA(FID) 
ioo(3) 52 | 23 | seek | [19, 11, 16, 6] | [8, 5, 10] | [ad, dad] | MJTG | WRY?G? 
ioo(4) 75 | 9 | seek | [14, 18, 22, 21] | [4, 4, 1] | [ad, diffs_decremental, dhr] | XEOEING | (PAE)XEAING 
ioo(5) 67 | 36 | seek | [5, 25, 26, 11] | [20, 1, 15] | [ad, dad] | CAEYJ | THOE?Y?R 
Results for cross2.txt
ioo(0) 68 | 10 | seek | [15, 13, 19, 21] | [2, 6, 2] | [is_odd, ad, diffs_is_even, dhr] | SPMING | L(CM)WING 
ioo(1) 69 | 32 | seek | [12, 26, 13, 18] | [14, 13, 5] | [ad, diffs_decremental, dad] | EOYPE | EO?Y?(CM)X 
ioo(2) 36 | 29 | seek | [27, 4, 5, 0] | [23, 1, 5] | [ad, diffs_is_odd, dad] | IORCF | ?IO??R?THN 
Results for spiral3.txt
ioo(0) 40 | 47 | seek | [0, 24, 15, 1] | [24, 9, 14] | [ad, dad] | FASU | NSLT 
ioo(1) 36 | 7 | seek | [12, 10, 9, 5] | [2, 1, 4] | [decremental, ad, dad] | EOINC | EOAETH 
ioo(2) 54 | 19 | seek | [4, 8, 19, 23] | [4, 11, 4] | [incremental, ad, dhr] | RHMD | ?R?JWH 
ioo(3) 30 | 23 | seek | [2, 5, 16, 7] | [3, 11, 9] | [ad, diffs_is_odd, dad] | THCTW | (FID)THYO 
ioo(4) 90 | 20 | seek | [25, 21, 27, 17] | [4, 6, 10] | [is_odd, ad, diffs_incremental, diffs_is_even, dad] | AEINGIOB | OEING?IO?G 
ioo(5) 42 | 18 | seek | [19, 5, 9, 9] | [14, 4, 0] | [is_odd, hr, diffs_decremental, diffs_is_even, dad] | MCNN | WTHEE 
Results for spiral4.txt
ioo(0) 78 | 21 | seek | [27, 14, 15, 22] | [13, 1, 7] | [ad, diffs_is_odd, dad] | IOXSOE | ?IO?(PAE)LEA 
ioo(1) 62 | 25 | seek | [5, 12, 25, 20] | [7, 13, 5] | [ad, diffs_is_odd, dad, diffs_all_prime] | CEOAEL | THEOOEIO 
ioo(2) 27 | 23 | seek | [20, 2, 4, 1] | [18, 2, 3] | [ad, dad] | LTHRU | IO(FID)?R?T 
ioo(3) 71 | 26 | seek | [16, 10, 25, 20] | [6, 15, 5] | [ad, dad] | TIAEL | YAOEIO 
ioo(4) 68 | 23 | seek | [27, 21, 16, 4] | [6, 5, 12] | [decremental, ad, dad] | IOINGTR | ?IO?INGY?R? 
ioo(5) 66 | 37 | seek | [17, 4, 17, 28] | [13, 13, 11] | [hr, diffs_decremental, diffs_is_odd, dhr, diffs_all_prime] | BRBEA | G?R?G?EA? 
ioo(6) 44 | 19 | seek | [10, 4, 13, 17] | [6, 9, 4] | [ad, dad] | IRPB | A?R?(CM)G 
ioo(7) 89 | 12 | seek | [27, 25, 22, 15] | [2, 3, 7] | [decremental, ad, diffs_incremental, dad, diffs_all_prime] | IOAEOES | ?IO?OEEAL 
ioo(8) 52 | 44 | seek | [4, 25, 21, 2] | [21, 4, 19] | [ad, dad] | RAEINGTH | ?R?OEING(FID) 
ioo(9) 65 | 48 | seek | [19, 27, 2, 17] | [8, 25, 15] | [ad, dad] | MIOTHB | W?IO?(FID)G 
ioo(10) 83 | 22 | seek | [28, 17, 22, 16] | [11, 5, 6] | [ad, dad] | EABOET | ?EA?GEAY 
ioo(11) 54 | 39 | seek | [15, 0, 21, 18] | [15, 21, 3] | [ad, diffs_is_odd, dad] | SFINGE | LNINGX 
ioo(12) 55 | 36 | seek | [12, 2, 13, 28] | [10, 11, 15] | [ad, diffs_incremental, dad] | EOTHPEA | EO(FID)(CM)?EA? 
Results for spiral5.txt
ioo(0) 62 | 29 | seek | [20, 5, 18, 19] | [15, 13, 1] | [ad, diffs_decremental, diffs_is_odd, dad] | LCEM | IOTHXW 
ioo(1) 86 | 13 | seek | [16, 24, 25, 21] | [8, 1, 4] | [ad, dad] | TAAEING | YSOEING 
ioo(2) 46 | 35 | seek | [3, 10, 5, 28] | [7, 5, 23] | [ad, diffs_is_odd, dad, diffs_all_prime] | OICEA | (UB)ATH?EA? 
ioo(3) 46 | 26 | seek | [11, 3, 11, 21] | [8, 8, 10] | [is_odd, hr, diffs_incremental, diffs_is_even, dhr] | JOJING | R(UB)RING 
ioo(4) 54 | 29 | seek | [14, 5, 20, 15] | [9, 15, 5] | [ad, diffs_is_odd, dad] | XCLS | (PAE)THIOL 
ioo(5) 79 | 21 | seek | [24, 14, 16, 25] | [10, 2, 9] | [ad, dad] | AXTAE | S(PAE)YOE 
ioo(6) 60 | 48 | seek | [22, 5, 23, 10] | [17, 18, 13] | [ad, dad] | OECDI | EATHHA 
ioo(7) 54 | 21 | seek | [15, 22, 9, 8] | [7, 13, 1] | [ad, diffs_is_odd, dad] | SOENH | LEAEJ 
ioo(8) 51 | 33 | seek | [11, 7, 23, 10] | [4, 16, 13] | [ad, dad] | JWDI | ROHA 
ioo(9) 82 | 16 | seek | [24, 22, 24, 12] | [2, 2, 12] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | AOEAEO | SEASEO 
ioo(10) 58 | 43 | seek | [25, 6, 19, 8] | [19, 13, 11] | [ad, diffs_decremental, diffs_is_odd, dad, diffs_all_prime] | AEGMH | OE?G?WJ 
ioo(11) 54 | 32 | seek | [10, 24, 14, 6] | [14, 10, 8] | [is_even, ad, diffs_decremental, diffs_is_even, dad] | IAXG | AS(PAE)?G? 
ioo(12) 70 | 37 | seek | [28, 6, 15, 21] | [22, 9, 6] | [ad, diffs_decremental, dad] | EAGSING | ?EA??G?LING 
Results for spiral6.txt
ioo(0) 73 | 10 | seek | [15, 14, 21, 23] | [1, 7, 2] | [ad, dad] | SXINGD | L(PAE)INGH 
ioo(1) 73 | 33 | seek | [9, 27, 25, 12] | [18, 2, 13] | [ad, dad] | NIOAEEO | E?IO?OEEO 
ioo(2) 67 | 42 | seek | [20, 9, 26, 12] | [11, 17, 14] | [ad, dad] | LNYEO | IOE?Y?EO 
ioo(3) 55 | 46 | seek | [19, 0, 9, 27] | [19, 9, 18] | [ad, dad] | MFNIO | WNE?IO? 
ioo(4) 94 | 11 | seek | [17, 24, 25, 28] | [7, 1, 3] | [incremental, ad, diffs_is_odd, dad] | BAAEEA | GSOE?EA? 
ioo(5) 59 | 36 | seek | [8, 26, 11, 14] | [18, 15, 3] | [ad, diffs_decremental, dad] | HYJX | J?Y?R(PAE) 
ioo(6) 52 | 26 | seek | [4, 12, 22, 14] | [8, 10, 8] | [is_even, ad, diffs_is_even, dhr] | REOOEX | ?R?EOEA(PAE) 
Results for spiral7.txt
ioo(0) 63 | 36 | seek | [13, 1, 24, 25] | [12, 23, 1] | [ad, dad] | PUAAE | (CM)TSOE 
ioo(1) 43 | 37 | seek | [13, 9, 21, 0] | [4, 12, 21] | [ad, diffs_incremental, dad] | PNINGF | (CM)EINGN 
ioo(2) 39 | 27 | seek | [19, 2, 10, 8] | [17, 8, 2] | [ad, diffs_decremental, dad] | MTHIH | W(FID)AJ 
ioo(3) 45 | 31 | seek | [12, 8, 20, 5] | [4, 12, 15] | [ad, diffs_incremental, dad] | EOHLC | EOJIOTH 
ioo(4) 35 | 37 | seek | [5, 9, 21, 0] | [4, 12, 21] | [ad, diffs_incremental, dad] | CNINGF | THEINGN 
ioo(5) 31 | 22 | seek | [2, 4, 3, 22] | [2, 1, 19] | [ad, dad] | THROOE | (FID)?R?(UB)EA 
ioo(6) 65 | 36 | seek | [23, 8, 21, 13] | [15, 13, 8] | [ad, diffs_decremental, dad] | DHINGP | HJING(CM) 
ioo(7) 28 | 24 | seek | [5, 12, 2, 9] | [7, 10, 7] | [ad, dhr] | CEOTHN | THEO(FID)E 
ioo(8) 65 | 38 | seek | [26, 21, 2, 16] | [5, 19, 14] | [ad, dad] | YINGTHT | ?Y?ING(FID)Y 
ioo(9) 67 | 41 | seek | [7, 27, 13, 20] | [20, 14, 7] | [ad, diffs_decremental, dad] | WIOPL | O?IO?(CM)IO 
Results for branch8.txt
ioo(0) 88 | 22 | seek | [28, 21, 25, 14] | [7, 4, 11] | [ad, dad] | EAINGAEX | ?EA?INGOE(PAE) 
ioo(1) 81 | 21 | seek | [6, 21, 27, 27] | [15, 6, 0] | [incremental, hr, diffs_decremental, dad] | GINGIOIO | ?G?ING?IO??IO? 
ioo(2) 40 | 22 | seek | [0, 2, 20, 18] | [2, 18, 2] | [is_even, ad, diffs_is_even, dhr] | FTHLE | N(FID)IOX 
ioo(3) 50 | 37 | seek | [27, 3, 12, 8] | [24, 9, 4] | [ad, diffs_decremental, dad] | IOOEOH | ?IO?(UB)EOJ 
ioo(4) 53 | 42 | seek | [11, 2, 25, 15] | [9, 23, 10] | [ad, dad] | JTHAES | R(FID)OEL 
ioo(5) 72 | 33 | seek | [27, 18, 23, 4] | [9, 5, 19] | [ad, diffs_is_odd, dad] | IOEDR | ?IO?XH?R? 
ioo(6) 57 | 48 | seek | [26, 7, 20, 4] | [19, 13, 16] | [ad, dad] | YWLR | ?Y?OIO?R? 
ioo(7) 42 | 35 | seek | [17, 7, 0, 18] | [10, 7, 18] | [ad, dad] | BWFE | GONX 
ioo(8) 71 | 46 | seek | [25, 16, 3, 27] | [9, 13, 24] | [ad, diffs_incremental, dad] | AETOIO | OEY(UB)?IO? 
ioo(9) 33 | 34 | seek | [5, 11, 0, 17] | [6, 11, 17] | [ad, all_primes, diffs_incremental, dad] | CJFB | THRNG 
Results for branch9.txt
ioo(0) 67 | 30 | seek | [1, 19, 26, 21] | [18, 7, 5] | [ad, diffs_decremental, dad] | UMYING | TW?Y?ING 
ioo(1) 65 | 7 | seek | [13, 15, 19, 18] | [2, 4, 1] | [ad, dad] | PSME | (CM)LWX 
ioo(2) 80 | 43 | seek | [25, 8, 27, 20] | [17, 19, 7] | [ad, diffs_is_odd, dad, diffs_all_prime] | AEHIOL | OEJ?IO?IO 
ioo(3) 53 | 34 | seek | [22, 5, 16, 10] | [17, 11, 6] | [ad, diffs_decremental, dad] | OECTI | EATHYA 
ioo(4) 65 | 28 | seek | [20, 24, 21, 0] | [4, 3, 21] | [ad, dad] | LAINGF | IOSINGN 
ioo(5) 96 | 11 | seek | [28, 21, 22, 25] | [7, 1, 3] | [ad, diffs_is_odd, dad] | EAINGOEAE | ?EA?INGEAOE 
ioo(6) 41 | 28 | seek | [26, 4, 7, 4] | [22, 3, 3] | [hr, diffs_decremental, dhr] | YRWR | ?Y??R?O?R? 
ioo(7) 39 | 22 | seek | [0, 4, 13, 22] | [4, 9, 9] | [incremental, ad, diffs_incremental, dhr] | FRPOE | N?R?(CM)EA 
Results for branch10.txt
ioo(0) 57 | 17 | seek | [20, 13, 9, 15] | [7, 4, 6] | [ad, dad] | LPNS | IO(CM)EL 
ioo(1) 83 | 20 | seek | [14, 26, 25, 18] | [12, 1, 7] | [ad, dad] | XYAEE | (PAE)?Y?OEX 
ioo(2) 56 | 28 | seek | [3, 17, 13, 23] | [14, 4, 10] | [is_odd, ad, all_primes, diffs_is_even, dad] | OBPD | (UB)G(CM)H 
ioo(3) 26 | 19 | seek | [8, 4, 1, 13] | [4, 3, 12] | [ad, dad] | HRUP | J?R?T(CM) 
ioo(4) 41 | 23 | seek | [0, 1, 17, 23] | [1, 16, 6] | [incremental, ad, dad] | FUBD | NTGH 
ioo(5) 70 | 19 | seek | [26, 15, 12, 17] | [11, 3, 5] | [ad, diffs_is_odd, dad, diffs_all_prime] | YSEOB | ?Y?LEOG 
ioo(6) 37 | 51 | seek | [5, 0, 26, 6] | [5, 26, 20] | [ad, dad] | CFYG | THN?Y??G? 
ioo(7) 60 | 40 | seek | [1, 24, 14, 21] | [23, 10, 7] | [ad, diffs_decremental, dad] | UAXING | TS(PAE)ING 
ioo(8) 47 | 59 | seek | [5, 22, 0, 20] | [17, 22, 20] | [ad, dad] | COEFL | THEANIO 
ioo(9) 33 | 41 | seek | [0, 20, 4, 9] | [20, 16, 5] | [ad, diffs_decremental, dad] | FLRN | NIO?R?E 
Results for branch11.txt
